dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00100001,20220629230000,1,452,47.66666667,6.113333333,,6.133333333
00100001,20220629150000,1,899,48,8.586666667,,8.6
00100001,20220629090000,1,891,48,7.16,,7.166666667
00100001,20220629070000,1,463,50,5.236666667,,5.266666667
00100001,20220629130000,1,869,48,9.483333333,,9.5
00100001,20220629190000,1,1419,37.33333333,12.93666667,,12.93333333
00100001,20220629220000,1,677,43.66666667,8.243333333,,8.266666667
00100001,20220629180000,1,1317,41,11.82333333,,11.83333333
00100001,20220630120000,1,738,49.66666667,6.966666667,,6.966666667
00100001,20220630150000,1,1050,47.33333333,9.553333333,,9.6
00100001,20220630110000,1,965,51.33333333,8.18,,8.166666667
00100001,20220630170000,1,940,47.66666667,9.286666667,,9.3
00100001,20220630000000,1,249,49,5.283333333,,5.3
00100001,20220630190000,1,1724,45.66666667,11.47333333,,11.53333333
00100001,20220630005900,1,136,49,3.253333333,,3.3
00100001,20220630160000,1,956,45,10.06333333,,10.06666667
00100001,20220630100000,1,886,51.33333333,6.72,,6.733333333
00100001,20220630140000,1,1047,46.66666667,9.233333333,,9.266666667
00100001,20220630130000,1,994,45.33333333,9.153333333,,9.166666667
00100001,20220630015900,1,105,48,3.42,,3.433333333
00100001,20220630070000,1,543,50.33333333,5.5,,5.5
00100001,20220630220000,1,740,44.66666667,9.563333333,,9.566666667
00100001,20220630210000,1,863,44,9,,9.033333333
00100001,20220630090000,1,999,50.66666667,7.583333333,,7.6
00100001,20220630080000,1,771,52.33333333,6.093333333,,6.133333333
00100001,20220630060000,1,196,51,3.966666667,,4
00100001,20220630230000,1,512,46,7.866666667,,7.9
00100001,20220630040000,1,63,49.66666667,2.923333333,,2.966666667
00100001,20220630200000,1,1180,47.33333333,8.986666667,,9
00100001,20220630050000,1,74,48.33333333,2.303333333,,2.333333333
00100001,20220630180000,1,1065,47,9.21,,9.2
00100001,20220630030000,1,70,49,3.326666667,,3.333333333
00100001,20220603050000,1,59,46.66666667,2.75,,2.766666667
00100001,20220603060000,1,239,53.33333333,3.55,,3.566666667
00100001,20220603080000,1,689,52,6.166666667,,6.2
00100001,20220603150000,1,1417,42.66666667,12.01333333,,12.03333333
00100001,20220603160000,1,1252,46.33333333,11.04,,11.06666667
00100001,20220603200000,1,1598,40.66666667,12.92333333,,12.93333333
00100001,20220603000000,1,752,46.33333333,8.256666667,,8.266666667
00100001,20220603100000,1,753,51,6.086666667,,6.1
00100001,20220603170000,1,1321,46,10.92666667,,10.96666667
00100001,20220603120000,1,1054,47,10.27,,10.3
00100001,20220603140000,1,1088,48.33333333,9.343333333,,9.4
00100001,20220603040000,1,437,54,5.163333333,,5.166666667
00100001,20220603110000,1,587,51.66666667,5.943333333,,5.933333333
00100001,20220603010000,1,439,51,5.28,,5.3
00100001,20220603030000,1,97,50.66666667,2.843333333,,2.833333333
00100001,20220603130000,1,710,48.66666667,7.21,,7.233333333
00100001,20220603180000,1,1521,41,12.46333333,,12.46666667
00100001,20220603070000,1,710,53,6.293333333,,6.3
00100001,20220603020000,1,78,53.66666667,2.38,,2.4
00100001,20220603090000,1,1067,51.66666667,7.286666667,,7.3
00100001,20220603190000,1,1704,36.33333333,13.81,,13.8
00100001,20220603210000,1,1190,42.66666667,11.03666667,,11.06666667
00100001,20220603220000,1,1000,43,10.58666667,,10.6
00100001,20220603230000,1,626,46,7.81,,7.833333333
00100001,20220616000000,1,200,51,5.073333333,,5.1
00100001,20220616010000,1,213,56,3.65,,3.666666667
00100001,20220616050000,1,525,52.66666667,4.87,,4.9
00100001,20220616080000,1,251,51.33333333,3.426666667,,3.466666667
00100001,20220616040000,1,502,57,4.496666667,,4.5
00100001,20220616070000,1,271,50.66666667,3.47,,3.5
00100001,20220616020000,1,640,53,5.98,,6
00100001,20220616090000,1,367,53,4.036666667,,4.066666667
00100001,20220616030000,1,69,56,2.593333333,,2.6
00100001,20220616100000,1,900,51.66666667,6.77,,6.766666667
00100001,20220616060000,1,208,54.33333333,3.096666667,,3.166666667
00100001,20220616170000,1,1244,45.66666667,11.14,,11.13333333
00100001,20220616210000,1,809,44.66666667,9.103333333,,9.1
00100001,20220616110000,1,829,51,8.423333333,,8.433333333
00100001,20220616220000,1,722,44.66666667,9.26,,9.3
00100001,20220616150000,1,999,48,9.4,,9.4
00100001,20220616140000,1,1123,47,10.58333333,,10.6
00100001,20220616230000,1,595,46.66666667,7.403333333,,7.4
00100001,20220616130000,1,958,49.33333333,8.776666667,,8.8
00100001,20220616160000,1,1002,46.66666667,10.99666667,,11
00100001,20220616200000,1,1161,46.33333333,9.406666667,,9.433333333
00100001,20220616180000,1,1510,43.33333333,12.70333333,,12.73333333
00100001,20220616120000,1,836,51.33333333,7.996666667,,8.033333333
00100001,20220616190000,1,1607,41.33333333,13.08666667,,13.1
00100001,20220617030000,1,77,51.66666667,2.593333333,,2.6
00100001,20220617180000,1,1628,38.33333333,14.14666667,,14.16666667
00100001,20220617200000,1,1506,41.66666667,12.12,,12.13333333
00100001,20220617130000,1,1011,47.66666667,9.363333333,,9.4
00100001,20220617190000,1,1673,37,14.57,,14.6
00100001,20220617140000,1,1166,45.66666667,10.33,,10.33333333
00100001,20220617020000,1,109,51.66666667,3.07,,3.1
00100001,20220617070000,1,754,52,5.593333333,,5.633333333
00100001,20220617090000,1,1022,51.33333333,7.973333333,,7.966666667
00100001,20220617210000,1,886,43.66666667,10.63333333,,10.66666667
00100001,20220617220000,1,729,43.66666667,8.803333333,,8.833333333
00100001,20220617100000,1,918,51.33333333,7.386666667,,7.4
00100001,20220617160000,1,1165,46.33333333,10.57333333,,10.56666667
00100001,20220617170000,1,1316,42.66666667,12.43666667,,12.46666667
00100001,20220617000000,1,248,48.33333333,4.893333333,,4.9
00100001,20220617010000,1,172,52.33333333,4.073333333,,4.066666667
00100001,20220617040000,1,81,50.66666667,2.73,,2.733333333
00100001,20220617110000,1,942,50,7.976666667,,8
00100001,20220617050000,1,85,53,2.986666667,,3
00100001,20220617080000,1,812,53.33333333,6.05,,6.1
00100001,20220617150000,1,1167,45.33333333,10.64,,10.63333333
00100001,20220617060000,1,197,54.33333333,3.236666667,,3.3
00100001,20220617120000,1,739,49.33333333,8.043333333,,8.066666667
00100001,20220617230000,1,566,46.33333333,8.053333333,,8.1
00100001,20220622190000,1,1719,38.66666667,12.92,,12.93333333
00100001,20220622030000,1,76,53,2.28,,2.3
00100001,20220622110000,1,811,51,7.596666667,,7.6
00100001,20220622090000,1,998,51.33333333,7.586666667,,7.6
00100001,20220622050000,1,80,52.33333333,2.763333333,,2.766666667
00100001,20220622140000,1,1165,46.66666667,10.59333333,,10.6
00100001,20220622130000,1,945,48.66666667,9.79,,9.833333333
00100001,20220622170000,1,1210,46.33333333,10.62333333,,10.63333333
00100001,20220622100000,1,872,52,7.206666667,,7.233333333
00100001,20220622020000,1,104,52.66666667,2.843333333,,2.833333333
00100001,20220622000000,1,271,48,4.983333333,,5
00100001,20220622200000,1,1318,44,10.12666667,,10.1
00100001,20220622210000,1,810,44,9.03,,9.033333333
00100001,20220622070000,1,658,53,5.7,,5.7
00100001,20220622150000,1,1022,47.66666667,9.763333333,,9.8
00100001,20220622160000,1,1161,46.66666667,10.17,,10.2
00100001,20220622040000,1,48,55,2.476666667,,2.466666667
00100001,20220622230000,1,618,47,7.53,,7.566666667
00100001,20220622180000,1,1592,43.66666667,12.37333333,,12.36666667
